       P1         P2           P3        X     Y
      3.00     500.00      30.00   157  -1.94002
      3.00     500.00      30.00   158  -1.90085
      3.00     500.00      30.00   159  -1.85972
      3.00     500.00      30.00   160  -1.81668
      3.00     500.00      30.00   161  -1.77180
      3.00     500.00      30.00   162  -1.72512
      3.00     500.00      30.00   163  -1.67671
      3.00     500.00      30.00   164  -1.62662
      3.00     500.00      30.00   165  -1.57493
      3.00     500.00      30.00   166  -1.52169
      3.00     500.00      30.00   167  -1.46697
      3.00     500.00      30.00   168  -1.41083
      3.00     500.00      30.00   169  -1.35335
      3.00     500.00      30.00   170  -1.29460
      3.00     500.00      30.00   171  -1.23463
      3.00     500.00      30.00   172  -1.17354
      3.00     500.00      30.00   173  -1.11138
      3.00     500.00      30.00   174  -1.04823
      3.00     500.00      30.00   175  -0.98417
      3.00     500.00      30.00   176  -0.91926
      3.00     500.00      30.00   177  -0.85360
      3.00     500.00      30.00   178  -0.78724
      3.00     500.00      30.00   179  -0.72028
      3.00     500.00      30.00   180  -0.65278
      3.00     500.00      30.00   181  -0.58482
      3.00     500.00      30.00   182  -0.51649
      3.00     500.00      30.00   183  -0.44785
      3.00     500.00      30.00   184  -0.37899
      3.00     500.00      30.00   185  -0.30998
      3.00     500.00      30.00   186  -0.24090
      3.00     500.00      30.00   187  -0.17183
      3.00     500.00      30.00   188  -0.10285
      3.00     500.00      30.00   189  -0.03402
      3.00     500.00      30.00   190   0.03456
      3.00     500.00      30.00   191   0.10284
      3.00     500.00      30.00   192   0.17073
      3.00     500.00      30.00   193   0.23816
      3.00     500.00      30.00   194   0.30505
      3.00     500.00      30.00   195   0.37134
      3.00     500.00      30.00   196   0.43695
      3.00     500.00      30.00   197   0.50181
      3.00     500.00      30.00   198   0.56585
      3.00     500.00      30.00   199   0.62901
      3.00     500.00      30.00   200   0.69121
      3.00     500.00      30.00   201   0.75240
      3.00     500.00      30.00   202   0.81251
      3.00     500.00      30.00   203   0.87147
      3.00     500.00      30.00   204   0.92923
      3.00     500.00      30.00   205   0.98572
      3.00     500.00      30.00   206   1.04090
      3.00     500.00      30.00   207   1.09469
      3.00     500.00      30.00   208   1.14705
      3.00     500.00      30.00   209   1.19792
      3.00     500.00      30.00   210   1.24726
      3.00     500.00      30.00   211   1.29501
      3.00     500.00      30.00   212   1.34113
      3.00     500.00      30.00   213   1.38558
      3.00     500.00      30.00   214   1.42830
      3.00     500.00      30.00   215   1.46927
      3.00     500.00      30.00   216   1.50844
      3.00     500.00      30.00   217   1.54577
      3.00     500.00      30.00   218   1.58123
      3.00     500.00      30.00   219   1.61479
      3.00     500.00      30.00   220   1.64643
      3.00     500.00      30.00   221   1.67610
      3.00     500.00      30.00   222   1.70379
      3.00     500.00      30.00   223   1.72947
      3.00     500.00      30.00   224   1.75313
      3.00     500.00      30.00   225   1.77474
      3.00     500.00      30.00   226   1.79429
      3.00     500.00      30.00   227   1.81176
      3.00     500.00      30.00   228   1.82715
      3.00     500.00      30.00   229   1.84044
      3.00     500.00      30.00   230   1.85164
      3.00     500.00      30.00   231   1.86072
      3.00     500.00      30.00   232   1.86770
      3.00     500.00      30.00   233   1.87258
      3.00     500.00      30.00   234   1.87535
      3.00     500.00      30.00   235   1.87602
      3.00     500.00      30.00   236   1.87461
      3.00     500.00      30.00   237   1.87111
      3.00     500.00      30.00   238   1.86554
      3.00     500.00      30.00   239   1.85793
      3.00     500.00      30.00   240   1.84827
      3.00     500.00      30.00   241   1.83660
      3.00     500.00      30.00   242   1.82292
      3.00     500.00      30.00   243   1.80728
      3.00     500.00      30.00   244   1.78968
      3.00     500.00      30.00   245   1.77017
      3.00     500.00      30.00   246   1.74876
      3.00     500.00      30.00   247   1.72549
      3.00     500.00      30.00   248   1.70040
      3.00     500.00      30.00   249   1.67351
      3.00     500.00      30.00   250   1.64487
      3.00     500.00      30.00   251   1.61451
      3.00     500.00      30.00   252   1.58248
      3.00     500.00      30.00   253   1.54881
      3.00     500.00      30.00   254   1.51356
      3.00     500.00      30.00   255   1.47676
      3.00     500.00      30.00   256   1.43846
      3.00     500.00      30.00   257   1.39872
      3.00     500.00      30.00   258   1.35758
      3.00     500.00      30.00   259   1.31509
      3.00     500.00      30.00   260   1.27131
      3.00     500.00      30.00   261   1.22629
      3.00     500.00      30.00   262   1.18008
      3.00     500.00      30.00   263   1.13275
      3.00     500.00      30.00   264   1.08434
      3.00     500.00      30.00   265   1.03492
      3.00     500.00      30.00   266   0.98455
      3.00     500.00      30.00   267   0.93328
      3.00     500.00      30.00   268   0.88118
      3.00     500.00      30.00   269   0.82830
      3.00     500.00      30.00   270   0.77472
      3.00     500.00      30.00   271   0.72048
      3.00     500.00      30.00   272   0.66566
      3.00     500.00      30.00   273   0.61032
      3.00     500.00      30.00   274   0.55452
