       P1         P2           P3        X     Y
      1.50     150.00      15.00     1   0.00000
      1.50     150.00      15.00     2   0.09926
      1.50     150.00      15.00     3   0.19677
      1.50     150.00      15.00     4   0.29210
      1.50     150.00      15.00     5   0.38487
      1.50     150.00      15.00     6   0.47470
      1.50     150.00      15.00     7   0.56122
      1.50     150.00      15.00     8   0.64410
      1.50     150.00      15.00     9   0.72300
      1.50     150.00      15.00    10   0.79764
      1.50     150.00      15.00    11   0.86773
      1.50     150.00      15.00    12   0.93303
      1.50     150.00      15.00    13   0.99330
      1.50     150.00      15.00    14   1.04835
      1.50     150.00      15.00    15   1.09800
      1.50     150.00      15.00    16   1.14209
      1.50     150.00      15.00    17   1.18051
      1.50     150.00      15.00    18   1.21316
      1.50     150.00      15.00    19   1.23997
      1.50     150.00      15.00    20   1.26089
      1.50     150.00      15.00    21   1.27592
      1.50     150.00      15.00    22   1.28506
      1.50     150.00      15.00    23   1.28836
      1.50     150.00      15.00    24   1.28586
      1.50     150.00      15.00    25   1.27767
      1.50     150.00      15.00    26   1.26389
      1.50     150.00      15.00    27   1.24466
      1.50     150.00      15.00    28   1.22014
      1.50     150.00      15.00    29   1.19050
      1.50     150.00      15.00    30   1.15595
      1.50     150.00      15.00    31   1.11670
      1.50     150.00      15.00    32   1.07300
      1.50     150.00      15.00    33   1.02509
      1.50     150.00      15.00    34   0.97325
      1.50     150.00      15.00    35   0.91776
      1.50     150.00      15.00    36   0.85891
      1.50     150.00      15.00    37   0.79701
      1.50     150.00      15.00    38   0.73238
      1.50     150.00      15.00    39   0.66534
      1.50     150.00      15.00    40   0.59622
      1.50     150.00      15.00    41   0.52536
      1.50     150.00      15.00    42   0.45309
      1.50     150.00      15.00    43   0.37977
      1.50     150.00      15.00    44   0.30572
      1.50     150.00      15.00    45   0.23129
      1.50     150.00      15.00    46   0.15682
      1.50     150.00      15.00    47   0.08263
      1.50     150.00      15.00    48   0.00906
      1.50     150.00      15.00    49  -0.06358
      1.50     150.00      15.00    50  -0.13498
      1.50     150.00      15.00    51  -0.20482
      1.50     150.00      15.00    52  -0.27283
      1.50     150.00      15.00    53  -0.33872
      1.50     150.00      15.00    54  -0.40223
      1.50     150.00      15.00    55  -0.46310
      1.50     150.00      15.00    56  -0.52111
      1.50     150.00      15.00    57  -0.57602
      1.50     150.00      15.00    58  -0.62764
      1.50     150.00      15.00    59  -0.67578
      1.50     150.00      15.00    60  -0.72026
      1.50     150.00      15.00    61  -0.76095
      1.50     150.00      15.00    62  -0.79771
      1.50     150.00      15.00    63  -0.83042
      1.50     150.00      15.00    64  -0.85900
      1.50     150.00      15.00    65  -0.88337
      1.50     150.00      15.00    66  -0.90348
      1.50     150.00      15.00    67  -0.91930
      1.50     150.00      15.00    68  -0.93081
      1.50     150.00      15.00    69  -0.93802
      1.50     150.00      15.00    70  -0.94095
      1.50     150.00      15.00    71  -0.93965
      1.50     150.00      15.00    72  -0.93418
      1.50     150.00      15.00    73  -0.92462
      1.50     150.00      15.00    74  -0.91106
      1.50     150.00      15.00    75  -0.89362
      1.50     150.00      15.00    76  -0.87243
      1.50     150.00      15.00    77  -0.84763
      1.50     150.00      15.00    78  -0.81938
      1.50     150.00      15.00    79  -0.78785
      1.50     150.00      15.00    80  -0.75323
      1.50     150.00      15.00    81  -0.71570
      1.50     150.00      15.00    82  -0.67549
      1.50     150.00      15.00    83  -0.63280
      1.50     150.00      15.00    84  -0.58785
      1.50     150.00      15.00    85  -0.54088
      1.50     150.00      15.00    86  -0.49212
      1.50     150.00      15.00    87  -0.44181
      1.50     150.00      15.00    88  -0.39020
      1.50     150.00      15.00    89  -0.33753
      1.50     150.00      15.00    90  -0.28405
      1.50     150.00      15.00    91  -0.23002
      1.50     150.00      15.00    92  -0.17568
      1.50     150.00      15.00    93  -0.12127
      1.50     150.00      15.00    94  -0.06705
      1.50     150.00      15.00    95  -0.01324
      1.50     150.00      15.00    96   0.03991
      1.50     150.00      15.00    97   0.09218
      1.50     150.00      15.00    98   0.14335
      1.50     150.00      15.00    99   0.19320
      1.50     150.00      15.00   100   0.24153
      1.50     150.00      15.00   101   0.28814
      1.50     150.00      15.00   102   0.33285
      1.50     150.00      15.00   103   0.37549
      1.50     150.00      15.00   104   0.41589
      1.50     150.00      15.00   105   0.45389
      1.50     150.00      15.00   106   0.48937
      1.50     150.00      15.00   107   0.52220
      1.50     150.00      15.00   108   0.55227
      1.50     150.00      15.00   109   0.57948
      1.50     150.00      15.00   110   0.60374
      1.50     150.00      15.00   111   0.62500
      1.50     150.00      15.00   112   0.64318
      1.50     150.00      15.00   113   0.65826
      1.50     150.00      15.00   114   0.67020
      1.50     150.00      15.00   115   0.67900
      1.50     150.00      15.00   116   0.68465
      1.50     150.00      15.00   117   0.68718
      1.50     150.00      15.00   118   0.68661
      1.50     150.00      15.00   119   0.68299
      1.50     150.00      15.00   120   0.67637
      1.50     150.00      15.00   121   0.66682
      1.50     150.00      15.00   122   0.65443
      1.50     150.00      15.00   123   0.63928
      1.50     150.00      15.00   124   0.62149
      1.50     150.00      15.00   125   0.60116
      1.50     150.00      15.00   126   0.57842
      1.50     150.00      15.00   127   0.55341
      1.50     150.00      15.00   128   0.52626
      1.50     150.00      15.00   129   0.49712
      1.50     150.00      15.00   130   0.46615
      1.50     150.00      15.00   131   0.43352
      1.50     150.00      15.00   132   0.39938
      1.50     150.00      15.00   133   0.36392
      1.50     150.00      15.00   134   0.32730
      1.50     150.00      15.00   135   0.28972
      1.50     150.00      15.00   136   0.25133
      1.50     150.00      15.00   137   0.21234
      1.50     150.00      15.00   138   0.17291
      1.50     150.00      15.00   139   0.13324
      1.50     150.00      15.00   140   0.09350
      1.50     150.00      15.00   141   0.05386
      1.50     150.00      15.00   142   0.01452
      1.50     150.00      15.00   143  -0.02437
      1.50     150.00      15.00   144  -0.06264
      1.50     150.00      15.00   145  -0.10012
      1.50     150.00      15.00   146  -0.13666
      1.50     150.00      15.00   147  -0.17211
      1.50     150.00      15.00   148  -0.20632
      1.50     150.00      15.00   149  -0.23915
      1.50     150.00      15.00   150  -0.27049
      1.50     150.00      15.00   151  -0.30020
      1.50     150.00      15.00   152  -0.32818
      1.50     150.00      15.00   153  -0.35433
      1.50     150.00      15.00   154  -0.37856
      1.50     150.00      15.00   155  -0.40077
      1.50     150.00      15.00   156  -0.42091
      1.50     150.00      15.00   157  -0.43890
      1.50     150.00      15.00   158  -0.45470
      1.50     150.00      15.00   159  -0.46826
      1.50     150.00      15.00   160  -0.47955
      1.50     150.00      15.00   161  -0.48856
      1.50     150.00      15.00   162  -0.49527
      1.50     150.00      15.00   163  -0.49968
      1.50     150.00      15.00   164  -0.50181
      1.50     150.00      15.00   165  -0.50167
      1.50     150.00      15.00   166  -0.49930
      1.50     150.00      15.00   167  -0.49474
      1.50     150.00      15.00   168  -0.48803
      1.50     150.00      15.00   169  -0.47923
      1.50     150.00      15.00   170  -0.46841
      1.50     150.00      15.00   171  -0.45565
      1.50     150.00      15.00   172  -0.44103
      1.50     150.00      15.00   173  -0.42463
      1.50     150.00      15.00   174  -0.40656
      1.50     150.00      15.00   175  -0.38692
      1.50     150.00      15.00   176  -0.36581
      1.50     150.00      15.00   177  -0.34335
      1.50     150.00      15.00   178  -0.31966
      1.50     150.00      15.00   179  -0.29485
      1.50     150.00      15.00   180  -0.26907
      1.50     150.00      15.00   181  -0.24242
      1.50     150.00      15.00   182  -0.21504
      1.50     150.00      15.00   183  -0.18707
      1.50     150.00      15.00   184  -0.15864
      1.50     150.00      15.00   185  -0.12988
      1.50     150.00      15.00   186  -0.10091
      1.50     150.00      15.00   187  -0.07188
      1.50     150.00      15.00   188  -0.04292
      1.50     150.00      15.00   189  -0.01415
      1.50     150.00      15.00   190   0.01431
      1.50     150.00      15.00   191   0.04232
      1.50     150.00      15.00   192   0.06977
      1.50     150.00      15.00   193   0.09655
      1.50     150.00      15.00   194   0.12255
      1.50     150.00      15.00   195   0.14765
      1.50     150.00      15.00   196   0.17176
      1.50     150.00      15.00   197   0.19479
      1.50     150.00      15.00   198   0.21665
      1.50     150.00      15.00   199   0.23725
      1.50     150.00      15.00   200   0.25651
      1.50     150.00      15.00   201   0.27439
      1.50     150.00      15.00   202   0.29080
      1.50     150.00      15.00   203   0.30569
      1.50     150.00      15.00   204   0.31903
      1.50     150.00      15.00   205   0.33077
      1.50     150.00      15.00   206   0.34088
      1.50     150.00      15.00   207   0.34933
      1.50     150.00      15.00   208   0.35612
      1.50     150.00      15.00   209   0.36123
      1.50     150.00      15.00   210   0.36466
      1.50     150.00      15.00   211   0.36642
      1.50     150.00      15.00   212   0.36652
      1.50     150.00      15.00   213   0.36499
      1.50     150.00      15.00   214   0.36186
      1.50     150.00      15.00   215   0.35715
      1.50     150.00      15.00   216   0.35091
      1.50     150.00      15.00   217   0.34319
      1.50     150.00      15.00   218   0.33404
      1.50     150.00      15.00   219   0.32352
      1.50     150.00      15.00   220   0.31170
      1.50     150.00      15.00   221   0.29865
      1.50     150.00      15.00   222   0.28444
      1.50     150.00      15.00   223   0.26915
      1.50     150.00      15.00   224   0.25287
      1.50     150.00      15.00   225   0.23567
      1.50     150.00      15.00   226   0.21765
      1.50     150.00      15.00   227   0.19890
      1.50     150.00      15.00   228   0.17951
      1.50     150.00      15.00   229   0.15957
      1.50     150.00      15.00   230   0.13919
      1.50     150.00      15.00   231   0.11846
      1.50     150.00      15.00   232   0.09747
      1.50     150.00      15.00   233   0.07633
      1.50     150.00      15.00   234   0.05513
      1.50     150.00      15.00   235   0.03396
      1.50     150.00      15.00   236   0.01293
      1.50     150.00      15.00   237  -0.00789
      1.50     150.00      15.00   238  -0.02840
      1.50     150.00      15.00   239  -0.04850
      1.50     150.00      15.00   240  -0.06813
      1.50     150.00      15.00   241  -0.08719
      1.50     150.00      15.00   242  -0.10561
      1.50     150.00      15.00   243  -0.12332
      1.50     150.00      15.00   244  -0.14024
      1.50     150.00      15.00   245  -0.15631
      1.50     150.00      15.00   246  -0.17147
      1.50     150.00      15.00   247  -0.18567
      1.50     150.00      15.00   248  -0.19885
      1.50     150.00      15.00   249  -0.21097
      1.50     150.00      15.00   250  -0.22199
      1.50     150.00      15.00   251  -0.23188
      1.50     150.00      15.00   252  -0.24060
      1.50     150.00      15.00   253  -0.24813
      1.50     150.00      15.00   254  -0.25446
      1.50     150.00      15.00   255  -0.25956
      1.50     150.00      15.00   256  -0.26345
      1.50     150.00      15.00   257  -0.26611
      1.50     150.00      15.00   258  -0.26754
      1.50     150.00      15.00   259  -0.26777
      1.50     150.00      15.00   260  -0.26680
      1.50     150.00      15.00   261  -0.26465
      1.50     150.00      15.00   262  -0.26135
      1.50     150.00      15.00   263  -0.25693
      1.50     150.00      15.00   264  -0.25142
      1.50     150.00      15.00   265  -0.24487
      1.50     150.00      15.00   266  -0.23731
      1.50     150.00      15.00   267  -0.22879
      1.50     150.00      15.00   268  -0.21937
      1.50     150.00      15.00   269  -0.20909
      1.50     150.00      15.00   270  -0.19801
      1.50     150.00      15.00   271  -0.18621
      1.50     150.00      15.00   272  -0.17372
      1.50     150.00      15.00   273  -0.16063
      1.50     150.00      15.00   274  -0.14700
      1.50     150.00      15.00   275  -0.13289
      1.50     150.00      15.00   276  -0.11837
      1.50     150.00      15.00   277  -0.10352
      1.50     150.00      15.00   278  -0.08841
      1.50     150.00      15.00   279  -0.07310
      1.50     150.00      15.00   280  -0.05767
      1.50     150.00      15.00   281  -0.04219
      1.50     150.00      15.00   282  -0.02672
      1.50     150.00      15.00   283  -0.01134
      1.50     150.00      15.00   284   0.00389
      1.50     150.00      15.00   285   0.01890
      1.50     150.00      15.00   286   0.03363
      1.50     150.00      15.00   287   0.04801
      1.50     150.00      15.00   288   0.06198
      1.50     150.00      15.00   289   0.07550
      1.50     150.00      15.00   290   0.08850
      1.50     150.00      15.00   291   0.10093
      1.50     150.00      15.00   292   0.11275
      1.50     150.00      15.00   293   0.12391
      1.50     150.00      15.00   294   0.13437
      1.50     150.00      15.00   295   0.14409
      1.50     150.00      15.00   296   0.15304
      1.50     150.00      15.00   297   0.16119
      1.50     150.00      15.00   298   0.16851
      1.50     150.00      15.00   299   0.17499
      1.50     150.00      15.00   300   0.18060
      1.50     150.00      15.00   301   0.18533
      1.50     150.00      15.00   302   0.18917
      1.50     150.00      15.00   303   0.19212
      1.50     150.00      15.00   304   0.19417
      1.50     150.00      15.00   305   0.19533
      1.50     150.00      15.00   306   0.19560
      1.50     150.00      15.00   307   0.19500
      1.50     150.00      15.00   308   0.19354
      1.50     150.00      15.00   309   0.19123
      1.50     150.00      15.00   310   0.18810
      1.50     150.00      15.00   311   0.18418
      1.50     150.00      15.00   312   0.17948
      1.50     150.00      15.00   313   0.17405
      1.50     150.00      15.00   314   0.16792
      1.50     150.00      15.00   315   0.16111
      1.50     150.00      15.00   316   0.15368
      1.50     150.00      15.00   317   0.14566
      1.50     150.00      15.00   318   0.13710
      1.50     150.00      15.00   319   0.12804
      1.50     150.00      15.00   320   0.11853
      1.50     150.00      15.00   321   0.10862
      1.50     150.00      15.00   322   0.09836
      1.50     150.00      15.00   323   0.08779
      1.50     150.00      15.00   324   0.07697
      1.50     150.00      15.00   325   0.06595
      1.50     150.00      15.00   326   0.05479
      1.50     150.00      15.00   327   0.04352
      1.50     150.00      15.00   328   0.03221
      1.50     150.00      15.00   329   0.02091
      1.50     150.00      15.00   330   0.00967
      1.50     150.00      15.00   331  -0.00147
      1.50     150.00      15.00   332  -0.01246
      1.50     150.00      15.00   333  -0.02324
      1.50     150.00      15.00   334  -0.03378
      1.50     150.00      15.00   335  -0.04403
      1.50     150.00      15.00   336  -0.05394
      1.50     150.00      15.00   337  -0.06348
      1.50     150.00      15.00   338  -0.07262
      1.50     150.00      15.00   339  -0.08131
      1.50     150.00      15.00   340  -0.08952
      1.50     150.00      15.00   341  -0.09723
      1.50     150.00      15.00   342  -0.10439
      1.50     150.00      15.00   343  -0.11100
      1.50     150.00      15.00   344  -0.11703
      1.50     150.00      15.00   345  -0.12245
      1.50     150.00      15.00   346  -0.12726
      1.50     150.00      15.00   347  -0.13144
      1.50     150.00      15.00   348  -0.13497
      1.50     150.00      15.00   349  -0.13786
      1.50     150.00      15.00   350  -0.14009
      1.50     150.00      15.00   351  -0.14167
      1.50     150.00      15.00   352  -0.14260
      1.50     150.00      15.00   353  -0.14288
      1.50     150.00      15.00   354  -0.14252
      1.50     150.00      15.00   355  -0.14153
      1.50     150.00      15.00   356  -0.13992
      1.50     150.00      15.00   357  -0.13771
      1.50     150.00      15.00   358  -0.13491
      1.50     150.00      15.00   359  -0.13155
      1.50     150.00      15.00   360  -0.12765
      1.50     150.00      15.00   361  -0.12323
      1.50     150.00      15.00   362  -0.11832
      1.50     150.00      15.00   363  -0.11295
      1.50     150.00      15.00   364  -0.10714
      1.50     150.00      15.00   365  -0.10093
      1.50     150.00      15.00   366  -0.09436
      1.50     150.00      15.00   367  -0.08745
      1.50     150.00      15.00   368  -0.08025
      1.50     150.00      15.00   369  -0.07278
      1.50     150.00      15.00   370  -0.06509
      1.50     150.00      15.00   371  -0.05721
      1.50     150.00      15.00   372  -0.04917
      1.50     150.00      15.00   373  -0.04103
      1.50     150.00      15.00   374  -0.03281
      1.50     150.00      15.00   375  -0.02455
      1.50     150.00      15.00   376  -0.01630
      1.50     150.00      15.00   377  -0.00808
      1.50     150.00      15.00   378   0.00007
      1.50     150.00      15.00   379   0.00811
      1.50     150.00      15.00   380   0.01601
      1.50     150.00      15.00   381   0.02373
      1.50     150.00      15.00   382   0.03124
      1.50     150.00      15.00   383   0.03852
      1.50     150.00      15.00   384   0.04552
      1.50     150.00      15.00   385   0.05223
      1.50     150.00      15.00   386   0.05862
      1.50     150.00      15.00   387   0.06466
      1.50     150.00      15.00   388   0.07034
      1.50     150.00      15.00   389   0.07562
      1.50     150.00      15.00   390   0.08050
      1.50     150.00      15.00   391   0.08496
      1.50     150.00      15.00   392   0.08897
      1.50     150.00      15.00   393   0.09254
      1.50     150.00      15.00   394   0.09565
      1.50     150.00      15.00   395   0.09829
      1.50     150.00      15.00   396   0.10046
      1.50     150.00      15.00   397   0.10215
      1.50     150.00      15.00   398   0.10336
      1.50     150.00      15.00   399   0.10410
      1.50     150.00      15.00   400   0.10436
      1.50     150.00      15.00   401   0.10415
      1.50     150.00      15.00   402   0.10349
      1.50     150.00      15.00   403   0.10237
      1.50     150.00      15.00   404   0.10081
      1.50     150.00      15.00   405   0.09881
      1.50     150.00      15.00   406   0.09641
      1.50     150.00      15.00   407   0.09361
      1.50     150.00      15.00   408   0.09043
      1.50     150.00      15.00   409   0.08688
      1.50     150.00      15.00   410   0.08300
      1.50     150.00      15.00   411   0.07880
      1.50     150.00      15.00   412   0.07430
      1.50     150.00      15.00   413   0.06953
      1.50     150.00      15.00   414   0.06451
      1.50     150.00      15.00   415   0.05928
      1.50     150.00      15.00   416   0.05384
      1.50     150.00      15.00   417   0.04824
      1.50     150.00      15.00   418   0.04250
      1.50     150.00      15.00   419   0.03665
      1.50     150.00      15.00   420   0.03071
      1.50     150.00      15.00   421   0.02471
      1.50     150.00      15.00   422   0.01868
      1.50     150.00      15.00   423   0.01265
      1.50     150.00      15.00   424   0.00664
      1.50     150.00      15.00   425   0.00068
      1.50     150.00      15.00   426  -0.00520
      1.50     150.00      15.00   427  -0.01098
      1.50     150.00      15.00   428  -0.01664
      1.50     150.00      15.00   429  -0.02215
      1.50     150.00      15.00   430  -0.02748
      1.50     150.00      15.00   431  -0.03263
      1.50     150.00      15.00   432  -0.03756
      1.50     150.00      15.00   433  -0.04225
      1.50     150.00      15.00   434  -0.04670
      1.50     150.00      15.00   435  -0.05088
      1.50     150.00      15.00   436  -0.05477
      1.50     150.00      15.00   437  -0.05837
      1.50     150.00      15.00   438  -0.06167
      1.50     150.00      15.00   439  -0.06464
      1.50     150.00      15.00   440  -0.06729
      1.50     150.00      15.00   441  -0.06960
      1.50     150.00      15.00   442  -0.07157
      1.50     150.00      15.00   443  -0.07320
      1.50     150.00      15.00   444  -0.07448
      1.50     150.00      15.00   445  -0.07540
      1.50     150.00      15.00   446  -0.07599
      1.50     150.00      15.00   447  -0.07622
      1.50     150.00      15.00   448  -0.07611
      1.50     150.00      15.00   449  -0.07567
      1.50     150.00      15.00   450  -0.07489
      1.50     150.00      15.00   451  -0.07379
      1.50     150.00      15.00   452  -0.07237
      1.50     150.00      15.00   453  -0.07065
      1.50     150.00      15.00   454  -0.06864
      1.50     150.00      15.00   455  -0.06635
      1.50     150.00      15.00   456  -0.06379
      1.50     150.00      15.00   457  -0.06099
      1.50     150.00      15.00   458  -0.05795
      1.50     150.00      15.00   459  -0.05469
      1.50     150.00      15.00   460  -0.05123
      1.50     150.00      15.00   461  -0.04758
      1.50     150.00      15.00   462  -0.04378
      1.50     150.00      15.00   463  -0.03983
      1.50     150.00      15.00   464  -0.03575
      1.50     150.00      15.00   465  -0.03157
      1.50     150.00      15.00   466  -0.02730
      1.50     150.00      15.00   467  -0.02297
      1.50     150.00      15.00   468  -0.01859
      1.50     150.00      15.00   469  -0.01419
      1.50     150.00      15.00   470  -0.00978
      1.50     150.00      15.00   471  -0.00539
      1.50     150.00      15.00   472  -0.00103
      1.50     150.00      15.00   473   0.00327
      1.50     150.00      15.00   474   0.00750
      1.50     150.00      15.00   475   0.01165
      1.50     150.00      15.00   476   0.01569
      1.50     150.00      15.00   477   0.01960
      1.50     150.00      15.00   478   0.02337
      1.50     150.00      15.00   479   0.02699
      1.50     150.00      15.00   480   0.03045
      1.50     150.00      15.00   481   0.03372
      1.50     150.00      15.00   482   0.03679
      1.50     150.00      15.00   483   0.03967
      1.50     150.00      15.00   484   0.04232
      1.50     150.00      15.00   485   0.04476
      1.50     150.00      15.00   486   0.04696
      1.50     150.00      15.00   487   0.04892
      1.50     150.00      15.00   488   0.05064
      1.50     150.00      15.00   489   0.05211
      1.50     150.00      15.00   490   0.05333
      1.50     150.00      15.00   491   0.05430
      1.50     150.00      15.00   492   0.05501
      1.50     150.00      15.00   493   0.05546
      1.50     150.00      15.00   494   0.05566
      1.50     150.00      15.00   495   0.05562
      1.50     150.00      15.00   496   0.05532
      1.50     150.00      15.00   497   0.05478
      1.50     150.00      15.00   498   0.05401
      1.50     150.00      15.00   499   0.05300
      1.50     150.00      15.00   500   0.05177
